# alpha     dec         x       y       flux    err_flux    FWHM
80.7422245  -36.4503386 -1.7    29.7    1.05    0.05        0.59
80.7440029  -36.450514  -6.9    29.1    1.06    0.05        0.51
80.7331005  -36.4518921 24.7    24.1    0.58    0.03        0.35
80.747927   -36.4527443 -18.2   21.1    0.8     0.04        0.44
80.7500829  -36.45337   -24.5   18.8    1.5     0.05        0.55
80.7338043  -36.4552554 22.7    12      1.39    0.06        0.66
80.7413304  -36.4558385 0.9     9.9     0.85    0.04        0.49
80.7476982  -36.4563809 -17.5   8       1.5     0.06        0.62
80.7434403  -36.4564975 -5.2    7.6     0.57    0.03        0.35
80.7415967  -36.4585668 0.1     0.1     4302.94 0.07        0.66
80.7460065  -36.4575836 -12.7   3.6     0.84    0.04        0.44
80.7440576  -36.4598546 -7      -4.5    45.47   0.11        0.98
80.7472396  -36.4606248 -16.2   -7.3    1.12    0.05        0.51
80.7397929  -36.4608532 5.3     -8.1    0.72    0.04        0.35
80.7373352  -36.4610799 12.5    -8.9    1.64    0.05        0.55
80.7487821  -36.4662021 -20.7   -27.4   1.97    0.07        0.87
